,TMC,TMC_HERE,lat_x,lon_x,label
0,112+04119,112P04119,29.55126,-95.151595,10
1,112P04119,112P04119,29.55126,-95.151595,10
2,112+04120,112P04120,29.565704999999998,-95.16493,10
3,112P04120,112P04120,29.565704999999998,-95.16493,10
4,112+04121,112P04121,29.58097,-95.179035,10
5,112P04121,112P04121,29.58097,-95.179035,10
6,112+04122,112P04122,29.5946,-95.192735,10
7,112P04122,112P04122,29.5946,-95.192735,10
8,112+04123,112P04123,29.606465000000004,-95.205425,10
9,112P04123,112P04123,29.606465000000004,-95.205425,10
10,112+04124,112P04124,29.61907,-95.21909000000001,10
11,112P04124,112P04124,29.61907,-95.21909000000001,10
12,112+04125,112P04125,29.63287,-95.23425999999999,3
13,112P04125,112P04125,29.63287,-95.23425999999999,3
14,112+04126,112P04126,29.64513,-95.245875,3
15,112P04126,112P04126,29.64513,-95.245875,3
16,112+04127,112P04127,29.65809,-95.254885,3
17,112P04127,112P04127,29.65809,-95.254885,3
18,112+04128,112P04128,29.66952,-95.26264499999999,3
19,112P04128,112P04128,29.66952,-95.26264499999999,3
20,112+04129,112P04129,29.678380000000004,-95.270425,3
21,112P04129,112P04129,29.678380000000004,-95.270425,3
22,112+04130,112P04130,29.685715,-95.27772,3
23,112P04130,112P04130,29.685715,-95.27772,3
24,112+04131,112P04131,29.69432,-95.286585,3
25,112P04131,112P04131,29.69432,-95.286585,3
26,112+04132,112P04132,29.702225,-95.295635,3
27,112P04132,112P04132,29.702225,-95.295635,3
28,112+04133,112P04133,29.7061,-95.30159,3
29,112P04133,112P04133,29.7061,-95.30159,3
30,112+04134,112P04134,29.71128,-95.309365,3
31,112P04134,112P04134,29.71128,-95.309365,3
32,112+04135,112P04135,29.71603,-95.31663,3
33,112P04135,112P04135,29.71603,-95.31663,3
34,112+04136,112P04136,29.719385,-95.322445,3
35,112P04136,112P04136,29.719385,-95.322445,3
36,112+04137,112P04137,29.72342,-95.32935,11
37,112P04137,112P04137,29.72342,-95.32935,11
38,112+04138,112P04138,29.728405,-95.337175,11
39,112P04138,112P04138,29.728405,-95.337175,11
40,112+04139,112P04139,29.732415000000003,-95.342915,11
41,112P04139,112P04139,29.732415000000003,-95.342915,11
42,112+04140,112P04140,29.735584999999997,-95.347305,11
43,112P04140,112P04140,29.735584999999997,-95.347305,11
44,112+04141,112P04141,29.741735,-95.35781999999999,11
45,112P04141,112P04141,29.741735,-95.35781999999999,11
46,112+04142,112P04142,29.754534999999997,-95.36865999999999,11
47,112P04142,112P04142,29.754534999999997,-95.36865999999999,11
48,112+04143,112P04143,29.768175,-95.36894000000001,11
49,112P04143,112P04143,29.768175,-95.36894000000001,11
50,112+04144,112P04144,29.77757,-95.36741,11
51,112P04144,112P04144,29.77757,-95.36741,11
52,112+04145,112P04145,29.785659999999996,-95.36996500000001,11
53,112P04145,112P04145,29.785659999999996,-95.36996500000001,11
54,112+04146,112P04146,29.793375,-95.371635,11
55,112P04146,112P04146,29.793375,-95.371635,11
56,112+04147,112P04147,29.801625,-95.37223,11
57,112P04147,112P04147,29.801625,-95.37223,11
58,112+04148,112P04148,29.81208,-95.37494,11
59,112P04148,112P04148,29.81208,-95.37494,11
60,112+04149,112P04149,29.82206,-95.37866,8
61,112P04149,112P04149,29.82206,-95.37866,8
62,112+04150,112P04150,29.828465,-95.3812,8
63,112P04150,112P04150,29.828465,-95.3812,8
64,112+04151,112P04151,29.83199,-95.383205,8
65,112P04151,112P04151,29.83199,-95.383205,8
66,112+04152,112P04152,29.851295,-95.396775,8
67,112P04152,112P04152,29.851295,-95.396775,8
68,112+04153,112P04153,29.862205000000003,-95.4036,8
69,112P04153,112P04153,29.862205000000003,-95.4036,8
70,112+04154,112P04154,29.877184999999997,-95.40916,8
71,112P04154,112P04154,29.877184999999997,-95.40916,8
72,112+04155,112P04155,29.891740000000002,-95.412,8
73,112P04155,112P04155,29.891740000000002,-95.412,8
74,112+04156,112P04156,29.903879999999997,-95.41221999999999,8
75,112P04156,112P04156,29.903879999999997,-95.41221999999999,8
76,112+04158,112P04158,29.928845000000006,-95.41184,8
77,112P04158,112P04158,29.928845000000006,-95.41184,8
78,112+04159,112P04159,29.939115,-95.41381,8
79,112P04159,112P04159,29.939115,-95.41381,8
80,112+04160,112P04160,29.954715000000004,-95.41712,8
81,112P04160,112P04160,29.954715000000004,-95.41712,8
82,112+04161,112P04161,29.965635,-95.418955,8
83,112P04161,112P04161,29.965635,-95.418955,8
84,112+04162,112P04162,29.9784,-95.42159,8
85,112P04162,112P04162,29.9784,-95.42159,8
86,112+04163,112P04163,29.997465000000002,-95.42526,8
87,112P04163,112P04163,29.997465000000002,-95.42526,8
88,112+04164,112P04164,30.009490000000003,-95.42734,8
89,112P04164,112P04164,30.009490000000003,-95.42734,8
90,112+04165,112P04165,30.02385,-95.42843,8
91,112P04165,112P04165,30.02385,-95.42843,8
92,112+04166,112P04166,30.045485,-95.430695,8
93,112P04166,112P04166,30.045485,-95.430695,8
94,112+04167,112P04167,30.058515000000003,-95.43282,8
95,112P04167,112P04167,30.058515000000003,-95.43282,8
96,112+04168,112P04168,30.067255000000007,-95.43446,8
97,112P04168,112P04168,30.067255000000007,-95.43446,8
98,112+04169,112P04169,30.075384999999997,-95.435985,8
99,112P04169,112P04169,30.075384999999997,-95.435985,8
100,112+04184,112P04184,29.78521,-95.788485,8
101,112P04184,112P04184,29.78521,-95.788485,8
102,112+04185,112P04185,29.785104999999998,-95.763815,8
103,112P04185,112P04185,29.785104999999998,-95.763815,8
104,112+04186,112P04186,29.785059999999998,-95.72269,8
105,112P04186,112P04186,29.785059999999998,-95.72269,8
106,112+04187,112P04187,29.784855,-95.69787,8
107,112P04187,112P04187,29.784855,-95.69787,8
108,112+04188,112P04188,29.784745,-95.67739,8
109,112P04188,112P04188,29.784745,-95.67739,8
110,112+04189,112P04189,29.78469,-95.65570500000001,8
111,112P04189,112P04189,29.78469,-95.65570500000001,8
112,112+04190,112P04190,29.78461,-95.631435,8
113,112P04190,112P04190,29.78461,-95.631435,8
114,112+04191,112P04191,29.784584999999996,-95.61274,8
115,112P04191,112P04191,29.784584999999996,-95.61274,8
116,112+04192,112P04192,29.784525,-95.599235,8
117,112P04192,112P04192,29.784525,-95.599235,8
118,112+04193,112P04193,29.784435,-95.58342,8
119,112P04193,112P04193,29.784435,-95.58342,8
120,112+04194,112P04194,29.784345000000002,-95.56924000000001,8
121,112P04194,112P04194,29.784345000000002,-95.56924000000001,8
122,112+04195,112P04195,29.78428,-95.553345,8
123,112P04195,112P04195,29.78428,-95.553345,8
124,112+04196,112P04196,29.784205,-95.537925,8
125,112P04196,112P04196,29.784205,-95.537925,8
126,112+04197,112P04197,29.784144999999995,-95.52651999999999,8
127,112P04197,112P04197,29.784144999999995,-95.52651999999999,8
128,112+04198,112P04198,29.784125,-95.51771,8
129,112P04198,112P04198,29.784125,-95.51771,8
130,112+04199,112P04199,29.783825,-95.48981500000001,8
131,112P04199,112P04199,29.783825,-95.48981500000001,8
132,112+04200,112P04200,29.783695,-95.473035,8
133,112P04200,112P04200,29.783695,-95.473035,8
134,112+04201,112P04201,29.781365,-95.45839,1
135,112P04201,112P04201,29.781365,-95.45839,1
136,112+04202,112P04202,29.777990000000003,-95.43729,1
137,112P04202,112P04202,29.777990000000003,-95.43729,1
138,112+04204,112P04204,29.7769,-95.40566,11
139,112P04204,112P04204,29.7769,-95.40566,11
140,112+04205,112P04205,29.776495,-95.395045,11
141,112P04205,112P04205,29.776495,-95.395045,11
142,112+04206,112P04206,29.777515,-95.384565,11
143,112P04206,112P04206,29.777515,-95.384565,11
144,112+04207,112P04207,29.772920000000003,-95.370255,11
145,112P04207,112P04207,29.772920000000003,-95.370255,11
146,112+04208,112P04208,29.76851,-95.35713,11
147,112P04208,112P04208,29.76851,-95.35713,11
148,112+04209,112P04209,29.76928,-95.34519,11
149,112P04209,112P04209,29.76928,-95.34519,11
150,112+04210,112P04210,29.769890000000004,-95.334495,11
151,112P04210,112P04210,29.769890000000004,-95.334495,11
152,112+04211,112P04211,29.772370000000002,-95.327155,11
153,112P04211,112P04211,29.772370000000002,-95.327155,11
154,112+04212,112P04212,29.774045,-95.317655,11
155,112P04212,112P04212,29.774045,-95.317655,11
156,112+04213,112P04213,29.774825,-95.304815,11
157,112P04213,112P04213,29.774825,-95.304815,11
158,112+04214,112P04214,29.776665,-95.29298,11
159,112P04214,112P04214,29.776665,-95.29298,11
160,112+04215,112P04215,29.7779,-95.28437,10
161,112P04215,112P04215,29.7779,-95.28437,10
162,112+04216,112P04216,29.77737,-95.27609,10
163,112P04216,112P04216,29.77737,-95.27609,10
164,112+04217,112P04217,29.775375,-95.26314,10
165,112P04217,112P04217,29.775375,-95.26314,10
166,112+04218,112P04218,29.773815000000003,-95.245515,8
167,112P04218,112P04218,29.773815000000003,-95.245515,8
168,112+04219,112P04219,29.771975,-95.226885,8
169,112P04219,112P04219,29.771975,-95.226885,8
170,112+04220,112P04220,29.770854999999997,-95.2089,8
171,112P04220,112P04220,29.770854999999997,-95.2089,8
172,112+04221,112P04221,29.770940000000003,-95.190595,8
173,112P04221,112P04221,29.770940000000003,-95.190595,8
174,112+04222,112P04222,29.77052,-95.176805,8
